Dataset,Encoding,Encoding_max,F1,type,is_imbalanced,bio_field
hiv_protease,ican_hyd,ican_dd,0.1766233766233766,sequence based,0.1573389652,hiv
hiv_rtv,ican_hyd,ican_nohyd,0.8377192982456141,sequence based,0.4793956044,hiv
hiv_sqv,ican_hyd,ican_nohyd,0.8084003968691433,sequence based,0.6005256242,hiv
hiv_v3,ican_hyd,ican_hyd,0.8000794912559619,sequence based,0.14803849,hiv
isp_il10pred,ican_hyd,ican_dd,0.46572866916225636,sequence based,0.3172302738,isp
nep_neuropipred,ican_hyd,ican_nohyd,0.7464584738700846,sequence based,0.5,nep
pip_pipel,ican_hyd,ican_hyd,0.3479281901989325,sequence based,0.2580545229,pip
tce_zhao,ican_hyd,ican_hyd,0.43181818181818177,sequence based,0.1773399015,tce
ace_vaxinpad,ican_nohyd,ican_nohyd,0.8284313725490196,sequence based,0.4404069767,ace
acp_anticp,ican_nohyd,ican_hyd,0.7752808988764045,sequence based,0.5,acp
acp_iacp,ican_nohyd,ican_nohyd,0.7551020408163265,sequence based,0.4011627907,acp
acp_mlacp,ican_nohyd,ican_hyd,0.584012539184953,sequence based,0.3196581197,acp
afp_amppred,ican_nohyd,ican_dd,0.7780586523780715,sequence based,0.5,afp
afp_antifp,ican_nohyd,ican_hyd,0.7351851851851852,sequence based,0.5003429355,afp
ai4avp_2,ican_nohyd,,0.7149224806201551,sequence based,,
aip_aippred,ican_nohyd,ican_hyd,0.44415081042988014,sequence based,0.4003813155,aip
aip_antiinflam,ican_nohyd,ican_dd,0.4742632564557461,sequence based,0.4063088512,aip
amp_antibp,ican_nohyd,ican_nohyd,0.7665362731152205,sequence based,0.5005807201,amp
amp_antibp2,ican_nohyd,ican_nohyd,0.786923076923077,sequence based,0.5012543904,amp
amp_csamp,ican_nohyd,ican_hyd,0.94442538593482,sequence based,0.5,amp
amp_fernandes,ican_nohyd,ican_dd,0.7972222222222222,sequence based,0.4978354978,amp
amp_gonzales,ican_nohyd,ican_dd,0.7777777777777778,sequence based,0.2093023256,amp
amp_iamp2l,ican_nohyd,ican_nohyd,0.7989189428679028,sequence based,0.2676613886,amp
amp_modlamp,ican_nohyd,ican_nohyd,0.8869699388135144,sequence based,0.4749903063,amp
atb_antitbp,ican_nohyd,ican_nohyd,0.749198717948718,sequence based,0.5,atb
atb_iantitb,ican_nohyd,ican_dd,0.6971428571428572,sequence based,0.5,atb
avp_amppred,ican_nohyd,ican_dd,0.7301465657630041,sequence based,0.5,avp
avp_avppred,ican_nohyd,ican_dd,0.808803992093581,sequence based,0.5721107927,avp
bce_ibce,ican_nohyd,ican_hyd,0.5247319663448238,sequence based,0.4408260524,bce
c2pred,ican_nohyd,,0.7232127695703856,sequence based,,
cppsite2,ican_nohyd,,0.835618846694796,sequence based,,
cpp_cellppd,ican_nohyd,ican_nohyd,0.8087489997332622,sequence based,0.5,cpp
cpp_cellppdmod,ican_nohyd,ican_dd,0.8530226301630005,sequence based,0.5006839945,cpp
cpp_cppredfl,ican_nohyd,ican_hyd,0.766839378238342,sequence based,0.5,cpp
cpp_kelmcpp,ican_nohyd,ican_dd,0.7607536437966584,sequence based,0.5024925224,cpp
cpp_mixed,ican_nohyd,ican_hyd,0.8942414174972315,sequence based,0.7578125,cpp
cpp_mlcpp,ican_nohyd,ican_dd,0.6865880619012528,sequence based,0.3878087231,cpp
cpp_mlcppue,ican_nohyd,ican_hyd,0.643943661971831,sequence based,0.5,cpp
cpp_sanders,ican_nohyd,ican_hyd,0.88,sequence based,0.7655172414,cpp
amy_hex,ican_nohyd,,0.6914125541493248,sequence based,,
hem_hemopi,ican_nohyd,ican_nohyd,0.8659339618172344,sequence based,0.472826087,hem
effectorp,ican_nohyd,,0.5601638504864311,sequence based,,
toxinpred_swissprot,ican_nohyd,,0.835505824274132,sequence based,,
toxinpred_trembl,ican_nohyd,,0.766151777421983,sequence based,,
toxinpred2,ican_nohyd,,0.7466785371866869,sequence based,,
amy_albase,ican_nohyd,,0.9274752995585454,sequence based,,
sol_ecoli,ican_nohyd,,0.714074074074074,sequence based,,
hiv_3tc,ican_nohyd,ican_nohyd,0.3920690757914934,sequence based,0.3125,hiv
foldamer_b,ican_nohyd,,0.9617215583406198,sequence based,,
perm_cyc,ican_nohyd,,0.8519429697334574,sequence based,,
hiv_abc,ican_nohyd,ican_nohyd,0.3846153846153846,sequence based,0.2891760905,hiv
hiv_apv,ican_nohyd,ican_hyd,0.8173373539911961,sequence based,0.603988604,hiv
hiv_azt,ican_nohyd,ican_hyd,0.7510995601759296,sequence based,0.5185185185,hiv
hiv_bevirimat,ican_nohyd,ican_nohyd,0.7894736842105263,sequence based,0.2774193548,hiv
hiv_d4t,ican_nohyd,ican_hyd,0.7773980405559353,sequence based,0.5410628019,hiv
hiv_ddi,ican_nohyd,ican_nohyd,0.6522988505747126,sequence based,0.4911717496,hiv
hiv_dlv,ican_nohyd,ican_hyd,0.8436776513472243,sequence based,0.6337047354,hiv
hiv_efv,ican_nohyd,ican_nohyd,0.8527623170480314,sequence based,0.6199722607,hiv
hiv_idv,ican_nohyd,ican_nohyd,0.8531002162941601,sequence based,0.5065963061,hiv
hiv_lpv,ican_nohyd,ican_hyd,0.8047619047619048,sequence based,0.4451097804,hiv
hiv_nfv,ican_nohyd,ican_hyd,0.7721509656494177,sequence based,0.3909677419,hiv
hiv_nvp,ican_nohyd,ican_nohyd,0.8226984126984127,sequence based,0.5661664393,hiv
hiv_protease,ican_nohyd,ican_dd,0.1242424242424242,sequence based,0.1573389652,hiv
hiv_rtv,ican_nohyd,ican_nohyd,0.8531181217901688,sequence based,0.4793956044,hiv
hiv_sqv,ican_nohyd,ican_nohyd,0.8256048387096775,sequence based,0.6005256242,hiv
hiv_v3,ican_nohyd,ican_hyd,0.7977918626047844,sequence based,0.14803849,hiv
isp_il10pred,ican_nohyd,ican_dd,0.4642162162162161,sequence based,0.3172302738,isp
nep_neuropipred,ican_nohyd,ican_nohyd,0.7624199260707167,sequence based,0.5,nep
pip_pipel,ican_nohyd,ican_hyd,0.324934020359432,sequence based,0.2580545229,pip
tce_zhao,ican_nohyd,ican_hyd,0.4,sequence based,0.1773399015,tce
ace_vaxinpad,ican_dd,ican_nohyd,0.8157752981916121,sequence based,0.4404069767,ace
acp_anticp,ican_dd,ican_hyd,0.7807259073842303,sequence based,0.5,acp
acp_iacp,ican_dd,ican_nohyd,0.7421142369991476,sequence based,0.4011627907,acp
acp_mlacp,ican_dd,ican_hyd,0.5525641025641026,sequence based,0.3196581197,acp
afp_amppred,ican_dd,ican_dd,0.7824100976072614,sequence based,0.5,afp
afp_antifp,ican_dd,ican_hyd,0.7369078206645688,sequence based,0.5003429355,afp
ai4avp_2,ican_dd,,0.7089169000933707,sequence based,,
aip_aippred,ican_dd,ican_hyd,0.46255411255411255,sequence based,0.4003813155,aip
aip_antiinflam,ican_dd,ican_dd,0.4887493905411993,sequence based,0.4063088512,aip
amp_antibp,ican_dd,ican_nohyd,0.7612903225806451,sequence based,0.5005807201,amp
amp_antibp2,ican_dd,ican_nohyd,0.768394970528033,sequence based,0.5012543904,amp
amp_csamp,ican_dd,ican_hyd,0.9505882352941175,sequence based,0.5,amp
amp_fernandes,ican_dd,ican_dd,0.8221343873517787,sequence based,0.4978354978,amp
amp_gonzales,ican_dd,ican_dd,0.875,sequence based,0.2093023256,amp
amp_iamp2l,ican_dd,ican_nohyd,0.7936747348512054,sequence based,0.2676613886,amp
amp_modlamp,ican_dd,ican_nohyd,0.8844979787146274,sequence based,0.4749903063,amp
atb_antitbp,ican_dd,ican_nohyd,0.7369121561668145,sequence based,0.5,atb
atb_iantitb,ican_dd,ican_dd,0.7135785007072135,sequence based,0.5,atb
avp_amppred,ican_dd,ican_dd,0.7303899596593455,sequence based,0.5,avp
avp_avppred,ican_dd,ican_dd,0.8126692607003891,sequence based,0.5721107927,avp
bce_ibce,ican_dd,ican_hyd,0.5231394228755707,sequence based,0.4408260524,bce
c2pred,ican_dd,,0.7262703739213806,sequence based,,
cppsite2,ican_dd,,0.8062770562770563,sequence based,,
cpp_cellppd,ican_dd,ican_nohyd,0.800193581253184,sequence based,0.5,cpp
cpp_cellppdmod,ican_dd,ican_dd,0.8642030608435984,sequence based,0.5006839945,cpp
cpp_cppredfl,ican_dd,ican_hyd,0.7584066497544124,sequence based,0.5,cpp
cpp_kelmcpp,ican_dd,ican_dd,0.7680775364985891,sequence based,0.5024925224,cpp
cpp_mixed,ican_dd,ican_hyd,0.8942414174972315,sequence based,0.7578125,cpp
cpp_mlcpp,ican_dd,ican_dd,0.6920320441037127,sequence based,0.3878087231,cpp
cpp_mlcppue,ican_dd,ican_hyd,0.661904761904762,sequence based,0.5,cpp
cpp_sanders,ican_dd,ican_hyd,0.8713725490196078,sequence based,0.7655172414,cpp
amy_hex,ican_dd,,0.6827646038172352,sequence based,,
hem_hemopi,ican_dd,ican_nohyd,0.8612531969309463,sequence based,0.472826087,hem
effectorp,ican_dd,,0.568061440677966,sequence based,,
toxinpred_swissprot,ican_dd,,0.825975884630356,sequence based,,
toxinpred_trembl,ican_dd,,0.7448149874938055,sequence based,,
toxinpred2,ican_dd,,0.7473438956197576,sequence based,,
amy_albase,ican_dd,,0.9251336898395721,sequence based,,
sol_ecoli,ican_dd,,0.7222739168362897,sequence based,,
hiv_3tc,ican_dd,ican_nohyd,0.35877192982456135,sequence based,0.3125,hiv
foldamer_b,ican_dd,,0.9688697318007663,sequence based,,
perm_cyc,ican_dd,,0.8504477420056666,sequence based,,
hiv_abc,ican_dd,ican_nohyd,0.3549965059399022,sequence based,0.2891760905,hiv
hiv_apv,ican_dd,ican_hyd,0.828092029133483,sequence based,0.603988604,hiv
hiv_azt,ican_dd,ican_hyd,0.7558370591157477,sequence based,0.5185185185,hiv
hiv_bevirimat,ican_dd,ican_nohyd,0.75,sequence based,0.2774193548,hiv
hiv_d4t,ican_dd,ican_hyd,0.7794666522421161,sequence based,0.5410628019,hiv
hiv_ddi,ican_dd,ican_nohyd,0.6435840707964602,sequence based,0.4911717496,hiv
hiv_dlv,ican_dd,ican_hyd,0.846572521329803,sequence based,0.6337047354,hiv
hiv_efv,ican_dd,ican_nohyd,0.8517390200558517,sequence based,0.6199722607,hiv
hiv_idv,ican_dd,ican_nohyd,0.8470111448834854,sequence based,0.5065963061,hiv
hiv_lpv,ican_dd,ican_hyd,0.8217299578059072,sequence based,0.4451097804,hiv
hiv_nfv,ican_dd,ican_hyd,0.7721674876847291,sequence based,0.3909677419,hiv
hiv_nvp,ican_dd,ican_nohyd,0.8096420442789157,sequence based,0.5661664393,hiv
hiv_protease,ican_dd,ican_dd,0.1818181818181818,sequence based,0.1573389652,hiv
hiv_rtv,ican_dd,ican_nohyd,0.8377192982456141,sequence based,0.4793956044,hiv
hiv_sqv,ican_dd,ican_nohyd,0.8084003968691433,sequence based,0.6005256242,hiv
hiv_v3,ican_dd,ican_hyd,0.8000794912559619,sequence based,0.14803849,hiv
isp_il10pred,ican_dd,ican_dd,0.4759334233018443,sequence based,0.3172302738,isp
nep_neuropipred,ican_dd,ican_nohyd,0.7431028551771586,sequence based,0.5,nep
pip_pipel,ican_dd,ican_hyd,0.34792800967937076,sequence based,0.2580545229,pip
tce_zhao,ican_dd,ican_hyd,0.43181818181818177,sequence based,0.1773399015,tce
